"","FC","log2(FC)","p.ajusted","-log10(p)"
"C2H4BrN2O16P3",0.054455,-4.1988,0.0039236,2.4063
"Valsafungin B",0.0019938,-8.9703,0.003994,2.3986
"C23H39N8P",106.08,6.729,0.003994,2.3986
"mz_560.48435_&_RT_0.815",109.24,6.7713,0.0040092,2.3969
"Daryamide E",0.00025245,-11.952,0.0040131,2.3965
"1,3,5-Trinitroso-1,3,5-triazinane",1878.4,10.875,0.0040581,2.3917
"S-[(1-Hydroxy-2,2,5,5-tetramethyl-3-pyrrolidinyl)methyl] methanesulfonothioate",4.3609e-05,-14.485,0.0041777,2.3791
"N,N,N',N'-Tetrakis(2-hydroxyethyl)adipamide",0.0013265,-9.5582,0.0041777,2.3791
"mz_228.81253_&_RT_0.814",19.729,4.3022,0.0042834,2.3682
"C17H32N6OS2",369.73,8.5303,0.0042962,2.3669
"N-acetyl-3-amino-3,6-dideoxy-d-galactose",0.00055267,-10.821,0.0044409,2.3525
"C19H34N2O10",0.0062578,-7.3201,0.0044455,2.3521
"BOC-L-DPA(BOC)-OH",0.0010533,-9.8909,0.0044746,2.3492
"(R)-Acetoin",2696.4,11.397,0.0046007,2.3372
"mz_55.01814_&_RT_3.577",2275.6,11.152,0.0048255,2.3165
"Guanosine",0.00044188,-11.144,0.0048746,2.3121
"1-(6-Hydrazino-5-nitropyrimidin-4-yl)-1H-benzotriazole",979.95,9.9366,0.004887,2.311
"3,5-Dinitro-2,4,6-pyridinetriamine",0.00069769,-10.485,0.0049168,2.3083
"3-Amino-3-(4-hydroxyphenyl)propanoate",0.00084478,-10.209,0.0049312,2.307
"C8H21N4OPS2",0.012706,-6.2984,0.0049923,2.3017
"2-Methyl-2-propanyl (12S)-12-(3-{[(3-isopropyl-5-methyl-1,2-oxazol-4-yl)carbonyl](methyl)amino}propyl)-11,14-dimethyl-10,13-dioxo-8-oxa-3,11,14-triazaspiro[5.12]octadecane-3-carboxylate",36.665,5.1963,0.005026,2.2988
"(3Z,6E)-1-N-methyl-3-benzylidene-6-(2R-methyl-3-hydroxypropylidene)piperazine-2,5-dione",0.0012032,-9.6989,0.0050461,2.297
"Pantothenol",0.0014215,-9.4584,0.0050461,2.297
"Boc-L-Pro(4-oxo)",150.81,7.2366,0.0051731,2.2862
"mz_149.95258_&_RT_0.709",0.0045957,-7.7655,0.0051744,2.2861
"2-trans-Hexadecenal",0.0024713,-8.6605,0.0051976,2.2842
"Salsolinol",0.0082943,-6.9137,0.0053266,2.2736
"C11H19N2P3",0.0012738,-9.6166,0.0053836,2.2689
"C11H29N4OP",0.002963,-8.3987,0.0055059,2.2592
"N-formylloline",259.77,8.0211,0.0055955,2.2522
"C21H49N9O2P2",0.0018652,-9.0665,0.0056354,2.2491
"C14H26N5O2P",0.011729,-6.4137,0.0057399,2.2411
"C14H27OPS",1728.4,10.755,0.0058453,2.2332
"N-fumaryl-L-alanine dimethyl ester",2268.7,11.148,0.0059973,2.222
"C25H48N5O3PS2",0.015437,-6.0174,0.0060614,2.2174
"MFCD04020245",87.972,6.459,0.006124,2.213
"Adenosine",5.3486,2.4192,0.0061616,2.2103
"mz_128.07015_&_RT_0.987",63086,15.945,0.0061937,2.2081
"C17H45N9OP2S2",0.019657,-5.6688,0.0062682,2.2029
"3-Methoxy-4-hydroxyphenylethyleneglycol",4.383,2.1319,0.0063375,2.1981
"9_12-Dioxododecanoicacid",0.0024528,-8.6714,0.0064744,2.1888
"1-Pentylamine",31.066,4.9573,0.0065552,2.1834
"N-(3-Carboxypropanoyl)-5-hydroxynorvaline",266.38,8.0573,0.0065883,2.1812
"Aculeatusquinone C",0.0039103,-7.9985,0.0066096,2.1798
"Estrone",0.00494,-7.6613,0.006732,2.1719
"C25H42N8O14P2",307.39,8.2639,0.0067933,2.1679
"Peaurantiogriseol F",6.8754,2.7814,0.0068256,2.1659
"C14H22N2P2S",0.0012199,-9.679,0.0068503,2.1643
"C13H25O2PS",0.0026601,-8.5543,0.0068503,2.1643
"(2R_3S)-3-Isopropylmalate",787.45,9.6211,0.0072267,2.1411
"C6H14N5O3P",207.06,7.6939,0.0073198,2.1355
"C7H18N7OP",196.93,7.6215,0.0076853,2.1143
"Arenediol",0.00084384,-10.211,0.0076967,2.1137
"Botryosphaerilactone A",497.46,8.9584,0.0077443,2.111
"Norepinephrine(Noradrenaline)",0.00149,-9.3905,0.0077594,2.1102
"mz_90.01953_&_RT_0.782",260.45,8.0248,0.0077594,2.1102
"Diethylene glycol",0.00076017,-10.361,0.0077971,2.1081
"C9H15N6OP",0.0025863,-8.5949,0.0080602,2.0937
"Boc-Orn(Z)-OH",215.35,7.7505,0.0080737,2.0929
"Allosamizoline",0.0012945,-9.5934,0.0080763,2.0928
"13-hydroxy-marasm-7(8)-en-5-methoxy γ-acetal",4.1662,2.0587,0.0082155,2.0854
"1,2-Dihydropyridine",1633.9,10.674,0.0082907,2.0814
"C13H26N7O4P",0.0018738,-9.0598,0.0083403,2.0788
"Diprotin B",299.85,8.2281,0.0085906,2.066
"2,2'-(1,4,7,13,16-Pentaoxa-10,19-diazacyclohenicosane-10,19-diyl)diethanol",63.051,5.9785,0.0086548,2.0627
"Streptoone B",0.0062613,-7.3193,0.008679,2.0615
"C30H31N2O2P",152.5,7.2526,0.0087014,2.0604
"C45H21N",43.031,5.4273,0.0090467,2.0435
"C12H27N6O5P",0.0017623,-9.1483,0.0094177,2.0261
"2-(3-Nitro-1H-1,2,4-triazol-1-yl)acetohydrazide",0.12888,-2.9559,0.0094858,2.0229
